model,is_best,mean_macro_f1,std_macro_f1,C,learning_rate,max_depth,min_samples_leaf,n_estimators,fold_1,fold_2,fold_3,fold_4,fold_5
lr,True,0.2809579940009338,0.0993600303569098,1.0,,,,,0.2702277432712215,0.34839073969508755,0.33019607843137255,0.363382816014395,0.0925925925925926
lr,False,0.2672041330105846,0.10738581496682574,0.01,,,,,0.29023569023569024,0.4326664326664327,0.2634920634920635,0.25438838342064146,0.09523809523809523
lr,False,0.2553735830797719,0.0924476186906922,0.1,,,,,0.31649831649831645,0.25258924082453493,0.24827586206896554,0.36691190341445007,0.0925925925925926
rf,True,0.3168769766798504,0.0693116920654166,,,10.0,10.0,100.0,0.25,0.3572719060523939,0.23633107088989444,0.42378167641325537,0.3170002300437083
rf,False,0.3168769766798504,0.0693116920654166,,,,10.0,100.0,0.25,0.3572719060523939,0.23633107088989444,0.42378167641325537,0.3170002300437083
rf,False,0.296828022578751,0.08739359934241313,,,10.0,10.0,200.0,0.17886178861788618,0.33888888888888885,0.22063780140005185,0.4235294117647059,0.3222222222222222
rf,False,0.296828022578751,0.08739359934241313,,,,10.0,200.0,0.17886178861788618,0.33888888888888885,0.22063780140005185,0.4235294117647059,0.3222222222222222
rf,False,0.2929737917671166,0.08722766453733777,,,10.0,5.0,100.0,0.17886178861788618,0.2828282828282828,0.21970310391363024,0.3962962962962963,0.38717948717948714
rf,False,0.28904486467995766,0.058904184897834666,,,5.0,10.0,100.0,0.25,0.27260981912144705,0.21735134638360445,0.38674463937621834,0.31851851851851853
rf,False,0.2838138292457216,0.05737953100018318,,,5.0,10.0,200.0,0.25,0.27260981912144705,0.22063780140005185,0.38962623951182307,0.28619528619528617
rf,False,0.28312536932317905,0.08256490732315298,,,10.0,5.0,200.0,0.17094017094017092,0.27260981912144705,0.22063780140005185,0.3886939571150097,0.36274509803921573
rf,False,0.28125486413807893,0.08721493249945902,,,5.0,5.0,100.0,0.17886178861788618,0.3378787878787879,0.1995579133510168,0.2759103641456583,0.41406546669704564
rf,False,0.2805439993373241,0.07671212381800678,,,,5.0,100.0,0.17886178861788618,0.2828282828282828,0.21970310391363024,0.3962962962962963,0.32503052503052504
rf,False,0.27792527759057956,0.07808372398454423,,,,5.0,200.0,0.17094017094017092,0.27260981912144705,0.22063780140005185,0.3886939571150097,0.3367446393762183
rf,False,0.2419749857736128,0.05558096094991509,,,5.0,5.0,200.0,0.17094017094017092,0.2619047619047619,0.21970310391363024,0.337037037037037,0.22028985507246376
xgb,True,0.34148768487911296,0.09607626400191839,,0.05,3.0,,100.0,0.28761312217194573,0.4468494468494469,0.17996089931573803,0.3979933110367893,0.395021645021645
xgb,False,0.3290113209230857,0.10228513183579774,,0.1,5.0,,200.0,0.18504901960784315,0.42002442002442003,0.2760942760942761,0.4682539682539683,0.29563492063492064
xgb,False,0.3215144787534138,0.0651312408491389,,0.1,3.0,,100.0,0.2974481658692185,0.42158167036215816,0.22296650717703348,0.31473429951690823,0.3508417508417508
xgb,False,0.321242450510199,0.05125243375273206,,0.1,3.0,,200.0,0.31194295900178254,0.3569023569023569,0.23289124668435016,0.3842424242424243,0.32023326572008115
xgb,False,0.3139922703491151,0.08827687095083804,,0.1,5.0,,100.0,0.21587301587301586,0.42002442002442003,0.25578149920255183,0.4211180124223602,0.2571644042232278
xgb,False,0.3110589596340103,0.037979034076339076,,0.1,7.0,,100.0,0.3171296296296296,0.3569023569023569,0.27799564270152505,0.3452380952380952,0.2580290736984449
xgb,False,0.3071085639506692,0.06927759667536577,,0.05,7.0,,200.0,0.25476190476190474,0.4166666666666667,0.2206937799043062,0.34778554778554777,0.29563492063492064
xgb,False,0.3063681549434238,0.06683016836698558,,0.05,5.0,,100.0,0.33264907135874877,0.3569023569023569,0.2041666666666667,0.3835578002244669,0.25456487956487955
xgb,False,0.30444361899349115,0.029088115924742513,,0.1,7.0,,200.0,0.2962962962962963,0.3611111111111111,0.27799564270152505,0.29118012422360245,0.29563492063492064
xgb,False,0.2899522109214509,0.04135835089344935,,0.05,7.0,,100.0,0.25980392156862747,0.3247863247863248,0.22296650717703348,0.32222222222222224,0.3199820788530466
xgb,False,0.28450790319386143,0.052335691056640855,,0.05,5.0,,200.0,0.27781036168132944,0.3569023569023569,0.2041666666666667,0.32222222222222224,0.26143790849673204
xgb,False,0.2810149192957395,0.06295753091749874,,0.05,3.0,,200.0,0.25925925925925924,0.27766032417195213,0.17996089931573803,0.3682120348787015,0.3199820788530466
