tc_bps,cagr,sharpe_ratio,volatility,max_drawdown,total_return,avg_turnover,model
0,0.057559037732028306,0.49297076899380504,0.13074914040312333,-0.19141826823577907,0.2522351223331416,0.35311004784688993,LR
5,0.04791224879670053,0.4230072845097526,0.1306706647140805,-0.19806468647853068,0.20695347867714964,0.35311004784688993,LR
10,0.0383495928772124,0.3529157928529705,0.13060844183012155,-0.2046593860691186,0.16329185623216214,0.35311004784688993,LR
20,0.019473884233802474,0.21245273619587637,0.13053284137589005,-0.21769514617968408,0.08060133277201631,0.35311004784688993,LR
50,-0.03520575217089206,-0.2092859914140207,0.13069727202272846,-0.26035942477866386,-0.13415632363721708,0.35311004784688993,LR
0,0.05578628659938012,0.43301252240722754,0.1518546775693413,-0.27343938237050897,0.24381975973977066,0.27655502392344494,RF
5,0.04821696195888969,0.3854806218467695,0.1519260451305042,-0.2757942883499935,0.2083646846547451,0.27655502392344494,RF
10,0.04069867031347085,0.33796244324383323,0.15201131592172853,-0.27814248658804946,0.17390559288115726,0.27655502392344494,RF
20,0.025813898207020625,0.24301938789942829,0.1522234699270488,-0.2852802738801234,0.10786584241625974,0.27655502392344494,RF
50,-0.01764876940857596,-0.04014173564707205,0.1531904175874246,-0.33543020183457334,-0.0690669292378232,0.27655502392344494,RF
0,0.01690299250840388,0.1869478615374468,0.14676766474400577,-0.2471623299146762,0.06969038548379447,0.2899521531100479,XGB
5,0.009261530527513218,0.13555564186364252,0.14679687847955752,-0.2580682229244607,0.03774792536044824,0.2899521531100479,XGB
10,0.0016739616729022355,0.0841743719786233,0.14684266498778645,-0.2688212341671285,0.006745059436998435,0.2899521531100479,XGB
20,-0.013340915722393931,-0.01848585501118065,0.14698388876602245,-0.28987687075158763,-0.05254999032452601,0.2899521531100479,XGB
50,-0.057128619291745286,-0.32441697491074634,0.14780255797363115,-0.3495845692037565,-0.2105611127799678,0.2899521531100479,XGB
0,-0.039930009665722466,-0.3555233628114584,0.10045493495083789,-0.2944748558943668,-0.15107123320970117,0.13205741626794257,STACKING
5,-0.04321971847815953,-0.38986782124745933,0.10041241409058665,-0.2988470650834251,-0.1627023558681342,0.13205741626794257,STACKING
10,-0.04649899014489223,-0.42421378193578124,0.10037642279407896,-0.3031932554296072,-0.17417702836605875,0.13205741626794257,STACKING
20,-0.05302634413957963,-0.4928832593357654,0.10032405572717754,-0.3118081729087743,-0.1966652584000126,0.13205741626794257,STACKING
50,-0.07236107446219409,-0.6982268664962437,0.10032413227795801,-0.33704375414924814,-0.2605845358866531,0.13205741626794257,STACKING
